"Product ID";"Active (0/1)";Name;Category;"Image URL";Price;Available
143;1;"Świeca zapłonowa NGK 9029";Świece;https://media1mi.pl/p/1/65/180/photo-5f6b2387-ba99-4997-8885-2060c6d22cea-150x150.jpg;95,64;1
144;1;"Świeca zapłonowa BERU Z285";Świece;https://media2mi.pl/p/2/334/81/photo-8640959d-981f-431a-b1b6-ad81d57483c5-150x150.jpg;56,91;1
145;1;"Świeca zapłonowa NGK 3710";Świece;https://media2mi.pl/p/2/344/210/photo-e1454ecf-363a-4da9-8c42-8d4b5c7b68d3-150x150.jpg;13,36;1
146;1;"Świeca zapłonowa BERU Z280";Świece;https://media1mi.pl/p/1/117/88/photo-55aa0cf9-67b4-4eb4-8d4c-1de9e5e9c967-150x150.jpg;59,51;1
147;1;"Świeca zapłonowa NGK 4228";Świece;https://media1mi.pl/p/1/241/98/photo-704bb830-64aa-4585-832c-2b0e55308c48-150x150.jpg;9,00;1
148;1;"Świeca zapłonowa NGK 3579";Świece;https://media2mi.pl/p/2/497/290/photo-9944adf4-23e0-42a4-9c3c-7653be1496eb-150x150.jpg;41,59;1
149;1;"Świeca zapłonowa DENSO K22PBR-S";Świece;https://media1mi.pl/p/1/219/61/photo-3940cd41-15ed-401e-b939-f6343f839191-150x150.jpg;23,81;1
150;1;"Świeca zapłonowa BOSCH 0 242 235 607";Świece;https://media1mi.pl/p/1/176/27/photo-7d61d811-aeee-4272-be46-773ceeda43bf-150x150.jpg;41,00;1
151;1;"Świeca zapłonowa DENSO W20S-U";Świece;https://media1mi.pl/p/1/140/129/photo-bc0b2bcb-66ee-4329-9a8e-8dfaff21c282-150x150.jpg;9,97;1
152;1;"Świeca zapłonowa BOSCH 0 242 135 500";Świece;https://media1mi.pl/p/1/168/466/photo-ef972656-c121-4d92-b4b4-656b322e6bd4-150x150.jpg;22,36;1
153;1;"Świeca zapłonowa NGK 4669";Świece;https://media2mi.pl/p/2/271/403/photo-e8033a20-843a-4f73-a236-8e1b20fc33f5-150x150.jpg;15,26;1
154;1;"Świeca zapłonowa NGK 4043";Świece;https://media2mi.pl/p/2/281/340/photo-14053e23-7639-443e-b03e-a2b7922a77ac-150x150.jpg;27,87;1
