"Product ID";"Active (0/1)";Name;Category;"Image URL";Price;Quantity
101;1;"Świeca zapłonowa BOSCH 0 242 129 500";Świece;https://media1mi.pl/p/1/217/236/photo-636c9378-4f81-401d-b401-2d1a47004152-150x150.jpg;100,56;2
102;1;"Świeca zapłonowa BOSCH 0 241 229 713";Świece;https://media1mi.pl/p/1/61/39/photo-a3d92dfd-09b1-4920-8be1-73e7142e011a-150x150.jpg;12,53;1
103;1;"Świeca zapłonowa DENSO W14LM-US";Świece;https://media2mi.pl/p/2/492/183/photo-2d436d9b-5c58-4d21-aafb-3a97ff42be3c-150x150.jpg;10,72;2
104;1;"Świeca zapłonowa BOSCH 0 242 222 505";Świece;https://media1mi.pl/p/1/147/181/photo-4742b455-d4ac-497e-9b48-c4e9014a5a2b-150x150.jpg;25,95;5
105;1;"Świeca zapłonowa NGK 4045";Świece;https://media1mi.pl/p/1/201/273/photo-7438dad8-5142-4208-9192-c3d0da84486c-150x150.jpg;82,45;4
106;1;"Świeca zapłonowa NGK 3512";Świece;https://media2mi.pl/p/2/451/335/photo-a32cf0da-7cd3-40c0-b402-6fdd9984229f-150x150.jpg;14,84;4
107;1;"Świeca zapłonowa DENSO K16GPR-U11";Świece;https://media1mi.pl/p/1/63/6/photo-75c0c039-6111-49ac-8286-84eae0d4f9e7-150x150.jpg;16,75;1
108;1;"Świeca zapłonowa BERU Z62";Świece;https://media1mi.pl/p/1/201/318/photo-ef085b39-e46b-411b-99aa-bac67c81e4da-150x150.jpg;13,37;3
109;1;"Świeca zapłonowa BERU Z89";Świece;https://media1mi.pl/p/1/193/191/photo-daede5ba-2234-42e9-8ea0-41c8919f16fb-150x150.jpg;26,55;3
110;1;"Świeca zapłonowa BERU Z280";Świece;https://media1mi.pl/p/1/117/88/photo-55aa0cf9-67b4-4eb4-8d4c-1de9e5e9c967-150x150.jpg;59,66;1
111;1;"Świeca zapłonowa BOSCH 0 242 245 514";Świece;https://media1mi.pl/p/1/195/300/photo-d87b7807-91c8-4d03-82a0-203ea4d4ccd6-150x150.jpg;45,97;4
112;1;"Świeca zapłonowa NGK 6421";Świece;https://media2mi.pl/p/2/350/144/photo-2dfcda9c-8a21-4c11-954c-7fcbc6caf4bf-150x150.jpg;14,85;1
113;1;"Świeca zapłonowa DENSO SK20R-P11";Świece;https://media2mi.pl/p/2/404/319/photo-41f040f2-97a9-4c7e-a1fe-d513afdbb41a-150x150.jpg;79,70;5
114;1;"Świeca zapłonowa NGK 91448";Świece;https://media1mi.pl/p/1/77/177/photo-53137fc6-19f4-4581-a3e3-5f5646344155-150x150.jpg;77,58;5
115;1;"Świeca zapłonowa DENSO P16R13";Świece;https://media2mi.pl/p/2/373/277/photo-ae686f05-8fb3-46f3-ac03-fd0b3c8b7f83-150x150.jpg;29,20;5
